,Country,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
0,USA,0.042433282257289734,0.0632127102815913,59800.0,4.4
1,Spain,0.10487762840399863,0.3878202918533839,38400.0,17.2
2,Italy,0.12965265127270936,0.2285091822165329,38200.0,11.3
3,France,0.10976043767401938,0.20100765510840665,44100.0,9.4
4,Germany,0.026435216700703427,0.5158460025716662,50800.0,3.8
5,UK,0.12897212190938823,0.0,44300.0,4.4
6,China,0.04061000060757033,0.9455738501731575,16700.0,3.9
7,Iran,0.06254256981449577,0.6427741496053527,20100.0,11.8
8,Turkey,0.02154781834098693,0.07370490393328316,27000.0,10.9
9,Belgium,0.1335839840611845,0.22070117934380926,46600.0,7.1
10,Netherlands,0.10740727232940661,0.009117765053430104,53900.0,4.9
11,Canada,0.0333665890699479,0.304289990023279,48400.0,6.3
12,Switzerland,0.0452652683528686,0.5282233189389266,62100.0,3.2
13,Brazil,0.06042672480921975,0.5460987385142502,15600.0,12.8
14,Russia,0.008056108425741636,0.08027675101886077,27900.0,5.2
15,Portugal,0.03249656121045392,0.019887666208161393,30500.0,8.9
16,Austria,0.026992830029523407,0.5365527906649796,50000.0,5.5
17,Israel,0.010210858376224473,0.18221816370579447,36400.0,4.2
18,India,0.03421258814311831,0.11830765212849308,7200.0,8.5
19,Ireland,0.03536893457618259,0.0021778900601097657,73200.0,6.7
20,Sweden,0.09025775447793796,0.03328964613368283,51200.0,6.7
21,S. Korea,0.0212444528373147,0.7191011235955056,39500.0,3.7
22,Peru,0.022323595069397264,0.27846258371348154,13500.0,6.9
23,Chile,0.011620563344701275,0.33421750663129973,24600.0,6.7
24,Japan,0.018516169942929612,0.10818008877615726,42900.0,2.9
25,Ecuador,0.048533473628830724,0.09154281204787584,11500.0,4.6
26,Poland,0.03651763399055818,0.08580949736184393,29600.0,4.9
27,Romania,0.0510248582642826,0.15278383485971797,24600.0,4.9
28,Norway,0.020987467914842215,0.004831647289747849,72100.0,4.2
29,Denmark,0.04592228536323145,0.38626939026263246,50100.0,5.7
30,Australia,0.009507481296758104,0.560785536159601,50400.0,5.6
31,Czechia,0.026345933562428408,0.10505645557191949,0.0,0.0
32,Pakistan,0.016446804865513105,0.23608017817371937,5400.0,6.0
33,Mexico,0.07519911094647157,0.39359140581589186,19900.0,3.4
34,Saudi Arabia,0.013596572918606817,0.16558018252933507,54500.0,6.0
35,Philippines,0.06413938349607505,0.05648094964579743,8400.0,5.7
36,Malaysia,0.016442751152997793,0.49689191898937235,29100.0,3.4
37,UAE,0.005676059193188729,0.1891344009730387,68600.0,1.6
38,Indonesia,0.09485430874147552,0.08803471791692498,12400.0,5.4
39,Serbia,0.021052631578947368,0.08958566629339305,15100.0,14.1
40,Panama,0.026580861779518745,0.020145495243424735,25400.0,6.0
41,Qatar,0.002042007001166861,0.1088098016336056,124100.0,8.9
42,Ukraine,0.029062870699881376,0.03529062870699881,8800.0,9.2
43,Luxembourg,0.020260054429996975,0.15119443604475355,105100.0,5.8
44,Dominican Republic,0.055690809494826535,0.049300060864272674,17000.0,5.1
45,Belarus,0.010057909174032308,0.06187138067662298,18900.0,0.8
46,Singapore,0.003075030750307503,0.18788437884378845,94100.0,2.2
47,Finland,0.02024675735526732,0.09490667510281557,44500.0,8.5
48,Colombia,0.042631755622692176,0.11883182275931521,14400.0,9.3
49,Thailand,0.015690776884806735,0.53769613471106,17900.0,0.7
50,Argentina,0.04297994269340974,0.22881702824396233,20900.0,8.4
51,South Africa,0.011180124223602485,0.16977225672877846,13600.0,27.5
52,Egypt,0.07574468085106383,0.25063829787234043,12700.0,12.2
53,Greece,0.046543778801843315,0.12396313364055299,27800.0,21.5
54,Algeria,0.157487922705314,0.3338164251207729,15200.0,11.7
55,Moldova,0.020682523267838676,0.06928645294725956,6700.0,4.1
56,Morocco,0.06673728813559322,0.1149364406779661,8600.0,10.2
57,Iceland,0.004651162790697674,0.575,52200.0,2.8
58,Croatia,0.018192488262910797,0.24354460093896713,24700.0,12.4
59,Bahrain,0.004581151832460733,0.42212041884816753,49000.0,3.6
60,Hungary,0.08068783068783068,0.08068783068783068,29600.0,4.2
61,Iraq,0.055714285714285716,0.5471428571428572,16700.0,16.0
62,New Zealand,0.006493506493506494,0.5252525252525253,39000.0,4.7
63,Estonia,0.022578295702840496,0.08375819373634377,31700.0,5.8
64,Kuwait,0.002214022140221402,0.12988929889298892,65800.0,1.1
65,Kazakhstan,0.011102299762093577,0.16098334655035687,26300.0,5.0
66,Slovenia,0.04590163934426229,0.12459016393442623,34500.0,6.6
67,Azerbaijan,0.01086048454469507,0.2932330827067669,17500.0,5.0
68,Uzbekistan,0.0034334763948497852,0.08497854077253218,6900.0,5.0
69,Bosnia and Herzegovina,0.03693444136657433,0.21791320406278855,12800.0,20.5
70,Lithuania,0.027102803738317756,0.09439252336448598,32400.0,7.1
71,Armenia,0.01499531396438613,0.24835988753514526,9500.0,18.9
72,Hong Kong,0.003948667324777887,0.42843040473840077,61500.0,3.1
73,Bangladesh,0.045454545454545456,0.041501976284584984,4200.0,4.4
74,North Macedonia,0.048458149779735685,0.0947136563876652,14900.0,22.4
75,Cameroon,0.01650943396226415,0.15330188679245282,3700.0,4.3
76,Slovakia,0.0023952095808383233,0.13532934131736526,33100.0,8.1
77,Oman,0.004920049200492005,0.15990159901599016,46000.0,0.0
78,Cuba,0.02741514360313316,0.17232375979112272,12300.0,2.6
79,Tunisia,0.04551539491298527,0.05756358768406961,11900.0,15.5
80,Afghanistan,0.03221288515406162,0.056022408963585436,2000.0,23.9
81,Bulgaria,0.04908835904628331,0.11360448807854137,21800.0,6.2
82,Diamond Princess,0.016853932584269662,0.8974719101123596,0.0,0.0
83,Cyprus,0.017266187050359712,0.09352517985611511,0.0,0.0
84,Andorra,0.04704097116843703,0.19423368740515934,49900.0,3.7
85,Latvia,0.0076103500761035,0.0243531202435312,27700.0,8.7
86,Lebanon,0.0327613104524181,0.12480499219968799,19600.0,9.7
87,Ivory Coast,0.009404388714733543,0.1786833855799373,0.0,0.0
88,Ghana,0.012578616352201259,0.026729559748427674,4700.0,11.9
89,Costa Rica,0.0048543689320388345,0.10679611650485436,16900.0,8.1
90,Niger,0.02456140350877193,0.15789473684210525,1200.0,0.3
91,Burkina Faso,0.056818181818181816,0.3352272727272727,1900.0,77.0
92,Uruguay,0.016260162601626018,0.5284552845528455,22400.0,7.6
93,Albania,0.05052631578947368,0.5221052631578947,12500.0,13.8
94,Channel Islands,0.029545454545454545,0.10909090909090909,0.0,0.0
95,Kyrgyzstan,0.011627906976744186,0.16511627906976745,3700.0,7.1
96,Honduras,0.07398568019093078,0.016706443914081145,5600.0,5.6
97,Bolivia,0.07052896725440806,0.017632241813602016,7600.0,4.0
98,Jordan,0.017632241813602016,0.5919395465994962,9200.0,18.3
99,Taiwan,0.015267175572519083,0.3155216284987277,50500.0,3.8
100,Malta,0.007633587786259542,0.11195928753180662,41900.0,4.6
101,Réunion,0.0,0.10230179028132992,0.0,0.0
102,Nigeria,0.029490616621983913,0.26541554959785524,5900.0,16.5
103,San Marino,0.0967741935483871,0.1424731182795699,59000.0,8.1
104,Djibouti,0.005509641873278237,0.14600550964187328,3600.0,40.0
105,Guinea,0.0,0.08539944903581267,2200.0,2.7
106,Mauritius,0.027777777777777776,0.1574074074074074,22300.0,7.1
107,Palestine,0.006493506493506494,0.2012987012987013,0.0,0.0
108,Georgia,0.01,0.23,10700.0,11.8
109,Senegal,0.006688963210702341,0.6120401337792643,3500.0,48.0
110,Montenegro,0.014134275618374558,0.1625441696113074,17800.0,16.1
111,Vietnam,0.0,0.6329588014981273,6900.0,2.2
112,Isle of Man,0.007874015748031496,0.5551181102362205,84600.0,1.1
113,DRC,0.08298755186721991,0.08298755186721991,800.0,0.0
114,Sri Lanka,0.030042918454935622,0.26180257510729615,12900.0,4.4
115,Mayotte,0.013824884792626729,0.31797235023041476,0.0,0.0
116,Kenya,0.041666666666666664,0.18981481481481483,3500.0,40.0
117,Venezuela,0.046632124352331605,0.5751295336787565,12500.0,27.1
118,Faeroe Islands,0.0,0.8858695652173914,40000.0,2.2
119,Guatemala,0.027777777777777776,0.10555555555555556,8200.0,2.3
120,Paraguay,0.049689440993788817,0.14285714285714285,12800.0,5.7
121,Martinique,0.05063291139240506,0.4620253164556962,0.0,0.0
122,El Salvador,0.040268456375838924,0.16778523489932887,8000.0,7.0
123,Guadeloupe,0.05517241379310345,0.46206896551724136,0.0,0.0
124,Mali,0.09027777777777778,0.2361111111111111,2200.0,7.9
125,Brunei,0.007352941176470588,0.7867647058823529,78900.0,6.9
126,Rwanda,0.0,0.3656716417910448,2100.0,2.7
127,Gibraltar,0.0,0.7209302325581395,61700.0,1.0
128,Cambodia,0.0,0.7868852459016393,4000.0,0.3
129,Trinidad and Tobago,0.07079646017699115,0.1504424778761062,31300.0,4.9
130,Madagascar,0.0,0.21296296296296297,1600.0,1.8
131,Jamaica,0.0380952380952381,0.18095238095238095,9200.0,12.2
132,Monaco,0.010752688172043012,0.06451612903225806,115700.0,2.0
133,Aruba,0.0,0.34782608695652173,37500.0,7.7
134,French Guiana,0.0,0.5930232558139535,0.0,0.0
135,Ethiopia,0.036585365853658534,0.17073170731707318,2200.0,17.5
136,Liechtenstein,0.012658227848101266,0.6962025316455697,139100.0,2.4
137,Togo,0.03896103896103896,0.4155844155844156,1700.0,6.9
138,Congo,0.06756756756756757,0.13513513513513514,6800.0,36.0
139,Barbados,0.0684931506849315,0.2054794520547945,18600.0,10.1
140,Myanmar,0.06349206349206349,0.031746031746031744,6300.0,4.0
141,Somalia,0.03333333333333333,0.03333333333333333,0.0,0.0
142,Liberia,0.1016949152542373,0.06779661016949153,1300.0,2.8
143,Bermuda,0.08771929824561403,0.5263157894736842,99400.0,7.0
144,Gabon,0.017543859649122806,0.017543859649122806,18100.0,28.0
145,French Polynesia,0.0,0.0,17000.0,21.8
146,Uganda,0.0,0.14545454545454545,2400.0,9.4
147,Cayman Islands,0.018518518518518517,0.1111111111111111,43800.0,4.0
148,Tanzania,0.05660377358490566,0.1320754716981132,3200.0,10.3
149,Sint Maarten,0.17307692307692307,0.09615384615384616,0.0,0.0
150,Bahamas,0.16326530612244897,0.12244897959183673,32400.0,10.1
151,Guyana,0.1276595744680851,0.1702127659574468,8100.0,11.1
152,Zambia,0.044444444444444446,0.6666666666666666,4000.0,15.0
153,Macao,0.0,0.2222222222222222,0.0,0.0
154,Guinea-Bissau,0.0,0.0,1900.0,0.0
155,Equatorial Guinea,0.0,0.0975609756097561,37400.0,8.6
156,Haiti,0.075,0.0,1800.0,40.6
157,Benin,0.02857142857142857,0.5142857142857142,2300.0,1.0
158,Libya,0.02857142857142857,0.2571428571428571,9600.0,30.0
159,Eritrea,0.0,0.0,1600.0,5.8
160,Sudan,0.15625,0.125,4300.0,19.6
161,Saint Martin,0.0625,0.34375,19300.0,0.0
162,Mongolia,0.0,0.16666666666666666,13000.0,8.0
163,Syria,0.06896551724137931,0.1724137931034483,2900.0,50.0
164,Mozambique,0.0,0.07142857142857142,1300.0,24.5
165,Antigua and Barbuda,0.08695652173913043,0.13043478260869565,26400.0,11.0
166,Chad,0.0,0.08695652173913043,2300.0,0.0
167,Maldives,0.0,0.8,19200.0,2.9
168,Angola,0.10526315789473684,0.2631578947368421,6800.0,6.6
169,Laos,0.0,0.05263157894736842,7400.0,0.7
170,Zimbabwe,0.16666666666666666,0.05555555555555555,2300.0,11.3
171,Belize,0.1111111111111111,0.0,8300.0,9.0
172,New Caledonia,0.0,0.05555555555555555,31100.0,14.7
173,Malawi,0.125,0.0,1200.0,20.4
174,Nepal,0.0,0.0625,2700.0,3.0
175,Dominica,0.0,0.5,11000.0,23.0
176,Fiji,0.0,0.0,9800.0,4.5
177,Namibia,0.0,0.1875,11200.0,34.0
178,Saint Lucia,0.0,0.7333333333333333,14400.0,20.0
179,Eswatini,0.0,0.5333333333333333,0.0,0.0
180,Curaçao,0.07142857142857142,0.7142857142857143,0.0,0.0
181,Grenada,0.0,0.0,15100.0,24.0
182,Saint Kitts and Nevis,0.0,0.0,28200.0,4.5
183,Botswana,0.07692307692307693,0.0,17000.0,20.0
184,St. Vincent Grenadines,0.0,0.08333333333333333,11500.0,18.8
185,Cabo Verde,0.09090909090909091,0.09090909090909091,7000.0,9.0
186,CAR,0.0,0.36363636363636365,0.0,0.0
187,Falkland Islands,0.0,0.09090909090909091,0.0,0.0
188,Greenland,0.0,1.0,41800.0,9.1
189,Montserrat,0.0,0.09090909090909091,34000.0,5.6
190,Seychelles,0.0,0.0,29300.0,3.0
191,Sierra Leone,0.0,0.0,1600.0,15.0
192,Suriname,0.1,0.6,14900.0,8.9
193,Turks and Caicos,0.1,0.0,0.0,0.0
194,MS Zaandam,0.2222222222222222,0.0,0.0,0.0
195,Gambia,0.1111111111111111,0.2222222222222222,2600.0,0.0
196,Nicaragua,0.1111111111111111,0.4444444444444444,5900.0,6.4
197,Vatican City,0.0,0.25,0.0,0.0
198,Mauritania,0.14285714285714285,0.2857142857142857,4500.0,10.2
199,St. Barth,0.0,0.6666666666666666,0.0,0.0
200,Timor-Leste,0.0,0.16666666666666666,0.0,0.0
201,Western Sahara,0.0,0.0,2500.0,0.0
202,Burundi,0.2,0.0,700.0,0.0
203,Bhutan,0.0,0.4,9000.0,3.2
204,Sao Tome and Principe,0.0,0.0,3200.0,12.2
205,South Sudan,0.0,0.0,1600.0,0.0
206,Anguilla,0.0,0.3333333333333333,12200.0,8.0
207,British Virgin Islands,0.0,0.6666666666666666,34200.0,2.9
208,Caribbean Netherlands,0.0,0.0,0.0,0.0
209,Papua New Guinea,0.0,0.0,3700.0,2.5
210,Saint Pierre Miquelon,0.0,0.0,0.0,0.0
211,Yemen,0.0,0.0,2500.0,27.0
