,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.
1,Afghanistan,10.2,38.2,0.28
2,Albania,6.7,97.6,1.2
3,Algeria,6.6,80.2,1.83
4,Andorra,10.4,100,3.33
5,Angola,2.9,71.1,0.21
6,Anguilla,NA,NA,NA
7,Antigua and Barbuda,4.3,99,2.76
8,Argentina,7.5,99.1,3.96
9,Armenia,9.9,99.7,2.9
10,Aruba,NA,97.5,NA
11,Australia,9.3,NA,3.59
12,Austria,10.4,NA,5.14
13,Azerbaijan,6.9,99.8,3.45
14,Bahamas,6.4,NA,1.94
15,Bahrain,4.9,95.7,0.93
16,Bangladesh,2.4,72.9,0.53
17,Barbados,7,99.6,2.49
18,Belarus,6.3,99.7,4.08
19,Belgium,10,NA,3.32
20,Belize,6.1,NA,1.13
21,Benin,3.9,38.4,0.16
22,Bermuda,NA,NA,NA
23,Bhutan,3.5,64.9,0.37
24,Bolivia,6.9,92.5,1.61
25,Bosnia and Herzegovina,9.2,98.5,1.89
26,Brazil,11.8,92,2.15
27,British Virgin Islands,NA,NA,NA
28,Brunei,2.3,96,1.77
29,Bulgaria,8.2,98.4,3.99
30,Burkina Faso,6.8,36,0.06
31,CAR,NA,NA,NA
32,Cabo Verde,5.2,86.8,0.77
33,Cambodia,6.1,80.5,0.17
34,Cameroon,4.7,75,0.09
35,Canada,10.5,NA,2.61
36,Cayman Islands,NA,98.9,NA
37,Chad,4.5,22.3,0.05
38,Channel Islands,NA,NA,NA
39,Chile,8.5,96.9,1.08
40,China,5,96.4,1.79
41,Colombia,5.9,94.7,2.08
42,Congo,4.6,79.3,0.12
43,Costa Rica,7.6,97.8,1.15
44,Croatia,7.2,99.3,3.13
45,Cuba,12.2,99.8,8.19
46,Curaçao,NA,NA,NA
47,Cyprus,NA,NA,NA
48,Czechia,NA,NA,NA
49,DRC,3.9,77,0.09
50,Denmark,10.4,NA,4.46
51,Diamond Princess,NA,NA,NA
52,Djibouti,3.5,NA,0.22
53,Dominica,5.3,NA,1.08
54,Dominican Republic,6.2,93.8,1.56
55,Ecuador,8.4,94.4,2.05
56,Egypt,4.6,80.8,0.79
57,El Salvador,7,88.1,1.57
58,Equatorial Guinea,3.4,95.3,0.4
59,Eritrea,3,73.8,NA
60,Estonia,6.7,99.8,3.47
61,Eswatini,NA,NA,NA
62,Ethiopia,4,49.1,0.1
63,Faeroe Islands,NA,NA,2.62
64,Fiji,3.6,NA,0.84
65,Finland,9.4,NA,3.81
66,France,11.1,NA,3.23
67,French Guiana,NA,NA,NA
68,French Polynesia,NA,NA,2.13
69,Gabon,2.7,83.2,0.36
70,Gambia,6.7,55.5,0.11
71,Georgia,7.9,99.8,5.1
72,Germany,11.2,NA,4.21
73,Ghana,5.9,76.6,0.18
74,Gibraltar,NA,NA,NA
75,Greece,8.4,97.7,4.59
76,Greenland,NA,100,1.87
77,Grenada,5,98.6,1.45
78,Guadeloupe,NA,NA,NA
79,Guatemala,5.7,81.5,0.36
80,Guinea,4.5,30.4,0.08
81,Guinea-Bissau,6.9,59.9,0.2
82,Guyana,4.5,88.5,0.8
83,Haiti,6.9,60.7,0.23
84,Honduras,7.6,89,0.31
85,Hong Kong,NA,NA,1.96
86,Hungary,7.2,99.1,3.23
87,Iceland,8.6,NA,3.97
88,India,3.9,71.2,0.78
89,Indonesia,3.3,95.4,0.38
90,Iran,7.6,85.5,1.14
91,Iraq,NA,79.7,0.82
92,Ireland,7.8,NA,3.09
93,Isle of Man,NA,NA,NA
94,Israel,7.4,97.8,3.22
95,Italy,9,99.2,4.09
96,Ivory Coast,NA,NA,NA
97,Jamaica,5.9,88.7,1.32
98,Japan,10.9,NA,2.41
99,Jordan,6.9,95.4,2.34
100,Kazakhstan,3.9,99.8,3.25
101,Kenya,5.2,78,0.2
102,Kuwait,4,96,2.58
103,Kyrgyzstan,NA,99.5,1.88
104,Laos,2.8,84.7,0.5
105,Latvia,5.8,99.9,3.19
106,Lebanon,7.4,93.9,2.27
107,Liberia,15.2,47.6,0.04
108,Libya,NA,91,2.16
109,Liechtenstein,NA,NA,NA
110,Lithuania,6.5,99.8,4.34
111,Luxembourg,6,NA,3.03
112,MS Zaandam,NA,NA,NA
113,Macao,NA,NA,NA
114,Madagascar,5.2,64.7,0.18
115,Malaysia,4,94.6,1.51
116,Maldives,11.5,99.3,1.04
117,Mali,5.8,33.1,0.14
118,Malta,9.6,94.4,3.83
119,Martinique,NA,NA,NA
120,Mauritania,4.6,52.1,0.18
121,Mauritius,5.5,93.2,2.54
122,Mayotte,NA,NA,NA
123,Mexico,5.9,94.9,2.25
124,Moldova,10.2,99.4,3.2
125,Monaco,2,NA,6.56
126,Mongolia,3.9,98.4,2.89
127,Montenegro,6,98.7,2.33
128,Montserrat,NA,NA,NA
129,Morocco,5.5,68.5,0.73
130,Mozambique,5.4,56,0.07
131,Myanmar,5.1,75.6,0.86
132,Namibia,8.9,81.9,NA
133,Nepal,6.1,63.9,0.65
134,Netherlands,10.7,NA,3.51
135,New Caledonia,NA,96.9,2.22
136,New Zealand,9.3,NA,3.03
137,Nicaragua,7.8,82.8,1.01
138,Niger,7.2,19.1,0.05
139,Nigeria,3.6,59.6,0.38
140,North Macedonia,6.1,97.8,2.87
141,Norway,10,NA,4.63
142,Oman,3.8,96.1,1.97
143,Pakistan,2.7,57.9,0.98
144,Palestine,NA,NA,NA
145,Panama,7,95,1.57
146,Papua New Guinea,3.8,64.2,0.05
147,Paraguay,7.8,94.7,1.37
148,Peru,5.3,94.2,1.27
149,Philippines,4.4,96.3,1.28
150,Poland,6.3,99.8,2.4
151,Portugal,9,95.7,3.34
152,Qatar,3.1,97.3,2.78
153,Romania,5,98.8,2.26
154,Russia,5.6,99.7,4.01
155,Rwanda,7.9,70.5,0.13
156,R_union,NA,NA,NA
157,S. Korea,7.4,NA,2.37
158,Saint Kitts and Nevis,5.6,NA,2.52
159,Saint Lucia,6,NA,0.11
160,Saint Martin,NA,NA,NA
161,San Marino,6.8,NA,6.15
162,Saudi Arabia,5.8,94.7,2.39
163,Senegal,4,51.9,0.07
164,Serbia,9.4,98.8,3.13
165,Seychelles,3.4,91.8,0.95
166,Singapore,4.3,97,2.31
167,Sint Maarten,NA,NA,NA
168,Slovakia,6.9,NA,2.46
169,Slovenia,8.5,99.7,2.81
170,Somalia,NA,NA,0.02
171,South Africa,8.2,94.4,0.91
172,Spain,9.2,98.3,4.07
173,Sri Lanka,3,91.9,0.96
174,St. Barth,NA,NA,NA
175,St. Vincent Grenadines,4.2,NA,0.66
176,Sudan,6.3,75.9,0.41
177,Suriname,6.5,95.6,1.23
178,Sweden,11,NA,5.4
179,Switzerland,12.1,NA,4.24
180,Syria,NA,86.4,1.22
181,Taiwan,NA,98.5,NA
182,Tanzania,6.1,77.9,0.04
183,Thailand,3.8,92.9,0.81
184,Timor-Leste,NA,NA,NA
185,Togo,6.6,63.7,0.05
186,Trinidad and Tobago,6,99,2.67
187,Tunisia,6.7,81.8,1.27
188,Turkey,4.1,96.2,1.76
189,Turks and Caicos,NA,NA,NA
190,UAE,3.5,93.8,2.39
191,UK,9.9,NA,2.81
192,USA,NA,NA,2.59
193,Uganda,7.3,78.4,0.09
194,Ukraine,6.1,99.8,3.01
195,Uruguay,9.2,98.6,5.05
196,Uzbekistan,6.2,100,2.37
197,Vatican City,NA,NA,NA
198,Venezuela,3.2,97.1,NA
199,Vietnam,5.7,94.5,0.82
200,Zambia,5.4,63.4,0.09
201,Zimbabwe,10.3,86.5,0.08